Day,Soil Moisture (%),Soil Temperature (°C),Soil NPK (mg/kg),Air Temperature (°C),Humidity (%),Rainfall (mm),NDVI
2025-03-15,37.82321827907003,22.537953044944867,230.9739578165344,25.97222729851548,72.17542255795962,5,0.5900824136220617
2025-03-16,16.901274479551276,27.890128387732965,154.4189010213796,26.11584677752671,80.02357052096028,10,0.7846636996047666
2025-03-17,34.10951252187612,26.238342780809496,185.47297781401247,28.928199749430544,65.74094780419775,3,0.4929915233673847
2025-03-18,30.435235341190857,27.46618047998347,238.00733447559867,22.207662634010703,81.28615545571292,4,0.4474474829075261
2025-03-19,28.504963247670663,30.690378947961843,178.76991603143657,22.370144902493777,51.198985417851084,7,0.5308091930118756
2025-03-20,30.45880388267751,24.26383565199139,213.31458284438685,25.126223114990257,47.96617560644845,5,0.5954413983644502
2025-03-21,20.062155426995538,22.73879150692753,223.23902160288011,27.146211393152612,64.44452301103381,10,0.6243339449322691
2025-03-22,28.90164056081244,22.33145671112343,172.1920858526575,29.243630262392017,68.84065448939307,4,0.575876394214367
2025-03-23,31.78556285755873,22.552569145103686,198.21423931814599,33.901424867798205,64.67305251905907,2,0.6352055396514297
2025-03-24,37.38947022370758,24.76869487175769,150.0,31.43063849280808,44.325578999601234,3,0.47484605758095555
2025-03-25,27.40864890863176,26.02345592444993,169.2683707599713,27.36024588014629,64.10879960487212,5,0.744376460407326
2025-03-26,25.95753198553406,25.830072397990058,192.4229554582052,27.923935168389246,51.95530499495147,8,0.5917848821607431
2025-03-27,27.491214782077318,27.481549747108073,162.5665045410545,23.989882541448765,71.69672548830039,4,0.7117295831588127
2025-03-28,34.57701058851037,25.03900567563372,248.97233911794905,27.92594745603044,68.66598246096848,3,0.6342725346377704
2025-03-29,31.643755548298422,29.36060223147195,157.09575866118104,26.845365444319448,55.60120213672645,8,0.6456753219153784
2025-03-30,27.351198981164806,24.20602950028613,186.79866539909048,29.29087424135236,59.861330826633065,6,0.6569767280232204
2025-03-31,32.56633716556678,33.160507499768855,203.92221731858274,24.69107622579071,54.40786478111048,8,0.6447708560017315
